iter	Passed	Remaining
0	1	132
1	2	116
2	3	108
3	4	99
4	5	98
5	6	96
6	7	94
7	8	92
8	9	91
9	9	89
10	10	88
11	11	87
12	12	85
13	13	84
14	14	83
15	15	82
16	16	81
17	17	80
18	18	78
19	19	78
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	25	71
26	26	70
27	26	69
28	27	68
29	29	68
30	30	67
31	31	66
32	32	65
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	56
43	43	55
44	44	54
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
