iter	Passed	Remaining
0	143	143610
1	144	72066
2	145	48224
3	146	36524
4	147	29384
5	148	24576
6	148	21119
7	149	18528
8	149	16510
9	150	14916
10	151	13593
11	151	12490
12	152	11554
13	152	10758
14	153	10071
15	153	9467
16	154	8930
17	154	8451
18	155	8023
19	155	7638
20	156	7288
21	156	6977
22	157	6689
23	157	6424
24	158	6181
25	159	5981
26	160	5796
27	161	5610
28	162	5434
29	162	5269
30	163	5112
31	164	4963
32	164	4825
33	165	4695
34	165	4570
35	166	4452
36	166	4340
37	167	4239
38	168	4141
39	168	4048
40	169	3957
41	169	3872
42	170	3791
43	170	3713
44	171	3639
45	172	3570
46	172	3502
47	174	3467
48	175	3413
49	176	3359
50	177	3305
51	178	3247
52	178	3192
53	179	3138
54	179	3086
55	180	3035
56	180	2988
57	181	2942
58	181	2896
59	182	2853
60	182	2812
61	183	2771
62	183	2732
63	184	2694
64	184	2657
65	185	2621
66	185	2586
67	186	2552
68	186	2519
69	187	2487
70	187	2457
71	189	2448
72	190	2422
73	191	2396
74	192	2369
75	192	2341
76	193	2314
77	193	2287
78	194	2262
79	195	2242
80	195	2217
81	196	2194
82	196	2169
83	196	2147
84	197	2124
85	197	2103
86	198	2081
87	198	2060
88	199	2040
89	199	2020
90	200	2001
91	200	1981
92	201	1963
93	201	1945
94	202	1928
95	203	1919
96	204	1907
97	205	1891
98	206	1875
99	206	1860
100	207	1843
101	207	1829
102	208	1815
103	209	1800
104	209	1785
105	209	1771
106	210	1756
107	210	1742
108	211	1728
109	211	1714
110	212	1700
111	212	1687
112	213	1674
113	213	1661
114	214	1650
115	214	1637
116	215	1624
117	215	1612
118	216	1601
119	216	1589
120	217	1579
121	218	1574
122	219	1568
123	220	1559
124	221	1550
125	221	1539
126	222	1528
127	222	1518
128	223	1508
129	223	1498
130	224	1488
131	224	1478
132	225	1468
133	225	1459
134	226	1449
135	226	1440
136	227	1430
137	227	1421
138	228	1412
139	228	1403
140	228	1395
141	229	1385
142	229	1376
143	230	1368
